物料品号,检查项目,工艺字段,样本数,Pearson相关系数
1110100200698,光缆外径,缆芯外径,372,-0.07069553509202987
1110100200698,光缆外径,护套外径,372,0.006169331829696467
1110100200698,光缆外径,挤出内模,372,0.06281836368003171
1110100200698,光缆外径,挤出外模,372,-0.2477376310848144
1110100200698,光缆外径,螺杆速度,372,-0.386686352657281
1110100200698,光缆外径,螺杆电流,372,0.2551977194317709
1110100200698,光缆外径,生产速度,372,-0.4607070780132556
1110100200698,光缆外径,实际生产速度,372,-0.4637152310361009
1110100200698,缆芯外径,缆芯外径,372,0.051758664481920166
1110100200698,缆芯外径,护套外径,372,0.10885629829841276
1110100200698,缆芯外径,挤出内模,372,0.17420476206857582
1110100200698,缆芯外径,挤出外模,372,0.022327413486523326
1110100200698,缆芯外径,螺杆速度,372,-0.04124808325001181
1110100200698,缆芯外径,螺杆电流,372,-0.2418412946526746
1110100200698,缆芯外径,生产速度,372,-0.32533217993577435
1110100200698,缆芯外径,实际生产速度,372,-0.3323237375386236
1110100200698,钢铝带搭边宽度,缆芯外径,372,-0.25380370214008724
1110100200698,钢铝带搭边宽度,护套外径,372,-0.17445445955975167
1110100200698,钢铝带搭边宽度,挤出内模,372,-0.17186935668198405
1110100200698,钢铝带搭边宽度,挤出外模,372,-0.39363014943316305
1110100200698,钢铝带搭边宽度,螺杆速度,372,-0.2909734888357609
1110100200698,钢铝带搭边宽度,螺杆电流,372,0.05632521822194055
1110100200698,钢铝带搭边宽度,生产速度,372,-0.5048966128429421
1110100200698,钢铝带搭边宽度,实际生产速度,372,-0.5052025865105725
1110100200698,加强件外径,缆芯外径,372,-0.24308501328289225
1110100200698,加强件外径,护套外径,372,-0.07872884761227017
1110100200698,加强件外径,挤出内模,372,-0.04853291785158619
1110100200698,加强件外径,挤出外模,372,-0.5558787361927564
1110100200698,加强件外径,螺杆速度,372,-0.4565536473234308
1110100200698,加强件外径,螺杆电流,372,-0.03464804091113582
1110100200698,加强件外径,生产速度,372,-0.9999999999999936
1110100200698,加强件外径,实际生产速度,372,-0.9986702863375394
1110100200698,套管壁厚2,缆芯外径,372,0.2486559680919865
1110100200698,套管壁厚2,护套外径,372,0.24640647569339053
1110100200698,套管壁厚2,挤出内模,372,0.40370392524424986
1110100200698,套管壁厚2,挤出外模,372,0.4048505155020797
1110100200698,套管壁厚2,螺杆速度,372,0.2114340703397301
1110100200698,套管壁厚2,螺杆电流,372,-0.2089080669104891
1110100200698,套管壁厚2,生产速度,372,0.05343745203324607
1110100200698,套管壁厚2,实际生产速度,372,0.0482465246954338
1110100200698,套管壁厚3,缆芯外径,372,0.22619917475521126
1110100200698,套管壁厚3,护套外径,372,0.22330008741922489
1110100200698,套管壁厚3,挤出内模,372,0.35573825899355666
1110100200698,套管壁厚3,挤出外模,372,0.3914311362039053
1110100200698,套管壁厚3,螺杆速度,372,0.23646016564759473
1110100200698,套管壁厚3,螺杆电流,372,-0.2659322691847463
1110100200698,套管壁厚3,生产速度,372,0.05359545652907885
1110100200698,套管壁厚3,实际生产速度,372,0.047064132735123027
1110100200698,套管壁厚1,缆芯外径,372,0.2592239649139451
1110100200698,套管壁厚1,护套外径,372,0.2518569232952897
1110100200698,套管壁厚1,挤出内模,372,0.3963449470144247
1110100200698,套管壁厚1,挤出外模,372,0.37701823508113164
1110100200698,套管壁厚1,螺杆速度,372,0.1327118568773626
1110100200698,套管壁厚1,螺杆电流,372,-0.1510875571607463
1110100200698,套管壁厚1,生产速度,372,0.0850603399728647
1110100200698,套管壁厚1,实际生产速度,372,0.07679755746119045
1110100200698,套管外径6,缆芯外径,372,0.11958878515503253
1110100200698,套管外径6,护套外径,372,0.12589991498411832
1110100200698,套管外径6,挤出内模,372,0.17538891020478012
1110100200698,套管外径6,挤出外模,372,0.14396013646489442
1110100200698,套管外径6,螺杆速度,372,0.00813108396382083
1110100200698,套管外径6,螺杆电流,372,-0.06471742017225866
1110100200698,套管外径6,生产速度,372,-0.01750964869991026
1110100200698,套管外径6,实际生产速度,372,-0.021054838828875377
1110100200698,套管外径2,缆芯外径,372,0.12554702434189235
1110100200698,套管外径2,护套外径,372,0.11820964474943547
1110100200698,套管外径2,挤出内模,372,0.2178357005854111
1110100200698,套管外径2,挤出外模,372,0.20997161787067892
1110100200698,套管外径2,螺杆速度,372,0.056711914658244565
1110100200698,套管外径2,螺杆电流,372,-0.11382498315933474
1110100200698,套管外径2,生产速度,372,0.06322723905365044
1110100200698,套管外径2,实际生产速度,372,0.05740466385187209
1110100260003,光缆外径,缆芯外径,368,-0.031859517769558234
1110100260003,光缆外径,护套外径,368,-0.021019210126190818
1110100260003,光缆外径,挤出内模,368,-0.023976120584205035
1110100260003,光缆外径,挤出外模,368,-0.02717991961071387
1110100260003,光缆外径,螺杆速度,368,0.06445729294537147
1110100260003,光缆外径,螺杆电流,368,0.016533256225318878
1110100260003,光缆外径,生产速度,368,0.05192109193545468
1110100260003,光缆外径,实际生产速度,368,-0.05400957696516082
1110100260003,缆芯外径,缆芯外径,368,-0.035127187910374204
1110100260003,缆芯外径,护套外径,368,-0.02293789966923119
1110100260003,缆芯外径,挤出内模,368,-0.02054067949841901
1110100260003,缆芯外径,挤出外模,368,-0.02562074909266492
1110100260003,缆芯外径,螺杆速度,368,0.08075470644568528
1110100260003,缆芯外径,螺杆电流,368,0.13265628490775394
1110100260003,缆芯外径,生产速度,368,0.11558037480628482
1110100260003,缆芯外径,实际生产速度,368,-0.02679212150977074
1110100260003,钢铝带搭边宽度,缆芯外径,368,-0.03421985448797831
1110100260003,钢铝带搭边宽度,护套外径,368,-0.08909697250047316
1110100260003,钢铝带搭边宽度,挤出内模,368,-0.07663860019802865
1110100260003,钢铝带搭边宽度,挤出外模,368,-0.0758851633922988
1110100260003,钢铝带搭边宽度,螺杆速度,368,0.22096233642589663
1110100260003,钢铝带搭边宽度,螺杆电流,368,-0.010482558402040034
1110100260003,钢铝带搭边宽度,生产速度,368,0.05329596099054543
1110100260003,钢铝带搭边宽度,实际生产速度,368,-0.06441395563993335
1110100260003,加强件外径,缆芯外径,368,-0.040244399157958556
1110100260003,加强件外径,护套外径,368,-0.03261526232107677
1110100260003,加强件外径,挤出内模,368,-0.03621615690812447
1110100260003,加强件外径,挤出外模,368,-0.04167158180274698
1110100260003,加强件外径,螺杆速度,368,0.12787618982681778
1110100260003,加强件外径,螺杆电流,368,0.012122372489149599
1110100260003,加强件外径,生产速度,368,0.09224202421004585
1110100260003,加强件外径,实际生产速度,368,-0.07972663424358124
1110100260003,套管壁厚2,缆芯外径,368,0.014591503708315202
1110100260003,套管壁厚2,护套外径,368,0.17339398420737898
1110100260003,套管壁厚2,挤出内模,368,0.17544175959475025
1110100260003,套管壁厚2,挤出外模,368,0.1807185253766662
1110100260003,套管壁厚2,螺杆速度,368,-0.15642161207354463
1110100260003,套管壁厚2,螺杆电流,368,-0.011887400080056058
