检查项目,样本数,缆芯外径_样本数,缆芯外径,护套外径_样本数,护套外径,挤出内模_样本数,挤出内模,挤出外模_样本数,挤出外模,螺杆速度_样本数,螺杆速度,螺杆电流_样本数,螺杆电流,生产速度_样本数,生产速度,实际生产速度_样本数,实际生产速度,最大绝对相关系数,最强相关工艺字段
光缆外径,6094,6094,0.3957770071415025,6094,0.7628166109400036,6094,0.5186913270685172,6094,0.695365576604602,5846,0.13077428632836022,6052,0.03937504508388542,6094,-0.4770994596105809,6094,-0.47770915322198215,0.7628166109400036,护套外径
加强件涂覆后外径,841,841,0.7374031425374457,841,0.6646965733588504,841,0.7576994651798612,841,0.7455551167768169,816,0.06863818759273721,834,-0.015998975975144488,841,-0.06750332007003602,841,-0.06217644136305477,0.7576994651798612,挤出内模
缆芯外径,5534,5534,0.4563269581566706,5534,0.7439993290010782,5534,0.5103038568034705,5534,0.7506369298027014,5394,0.09763812240360346,5499,-0.02036765885430771,5534,-0.5348329633792422,5534,-0.5296979092122873,0.7506369298027014,挤出外模
钢铝带搭边宽度,5216,5216,0.32611106679929036,5216,0.64230511770509,5216,0.44031370896605904,5216,0.6438841765741105,4999,0.09855428476956066,5198,0.08028086664332595,5216,-0.5302018122910876,5216,-0.5275529914538127,0.6438841765741105,挤出外模
加强件外径,6181,6181,0.2678100662348529,6181,0.4235826433575042,6181,0.3330973199908738,6181,0.3527690164308034,5937,0.056206671601061985,6143,0.010470161974443434,6181,-0.5323371657511736,6181,-0.5285958639443165,0.5323371657511736,生产速度
套管壁厚2,6085,6085,0.30369099575899566,6085,0.48494062575687685,6085,0.3140127870425591,6085,0.41412285283092004,5836,0.14837639091131588,6042,-0.04037549104581853,6085,-0.31793514438480797,6085,-0.3183933298055457,0.48494062575687685,护套外径
套管壁厚3,6085,6085,0.2976749907730497,6085,0.4733348295147013,6085,0.309385185595796,6085,0.399482833993101,5836,0.139157674539116,6042,-0.051559659851207196,6085,-0.28150406208465084,6085,-0.28078751724591433,0.4733348295147013,护套外径
套管壁厚1,6085,6085,0.28839725937857597,6085,0.45535490329593875,6085,0.3004170826067458,6085,0.37558969879742665,5836,0.13574365416678055,6042,-0.04421958361460564,6085,-0.3102931411070129,6085,-0.310199164019668,0.45535490329593875,护套外径
套管外径6,6129,6129,0.2710743914250276,6129,0.4373513052726576,6129,0.288691710256678,6129,0.3414683626402159,5880,0.12260344203176474,6086,-0.03861578101819912,6129,-0.3851075302982169,6129,-0.38443198645592047,0.4373513052726576,护套外径
套管外径2,6132,6132,0.2714272102016177,6132,0.43643394381574463,6132,0.2884982601499984,6132,0.3406223493800473,5883,0.12261763026324662,6089,-0.03982540098862622,6132,-0.38505140580662983,6132,-0.38441849909356235,0.43643394381574463,护套外径
套管外径4,6129,6129,0.2695658105471941,6129,0.43643212428916506,6129,0.28747132503512446,6129,0.34054858440765107,5880,0.12231723230027922,6086,-0.038565302743117036,6129,-0.3808130391166237,6129,-0.3801469265962148,0.43643212428916506,护套外径
套管外径1,6132,6132,0.269304266261315,6132,0.4361677688596839,6132,0.28710515103039536,6132,0.3398594146790325,5883,0.1225564098667581,6089,-0.03874627363431454,6132,-0.3836887482657161,6132,-0.3829692714363555,0.4361677688596839,护套外径
套管外径3,6132,6132,0.2703213213442378,6132,0.4359360085456218,6132,0.2877830382559992,6132,0.3398005484874585,5883,0.12237647943916072,6089,-0.03914341415737398,6132,-0.38657217439413644,6132,-0.38599193541727345,0.4359360085456218,护套外径
套管壁厚,6041,6041,0.2584040235881765,6041,0.4302837273746485,6041,0.2826500525531181,6041,0.36858571748552826,5792,0.1258362643290098,5998,-0.03491264675648368,6041,-0.28004901998840837,6041,-0.28040221834886353,0.4302837273746485,护套外径
套管外径,6037,6037,0.2622720396832789,6037,0.4283452946148366,6037,0.2861769918385517,6037,0.3398628816833683,5788,0.1207024216229186,5994,-0.0356974093331048,6037,-0.38615077902397205,6037,-0.38552953209306184,0.4283452946148366,护套外径
套管外径5,6129,6129,0.25888972012074274,6129,0.4146746157609718,6129,0.2754076746262736,6129,0.3240136490954182,5880,0.1160056015437823,6086,-0.038771453772924666,6129,-0.3756448136966874,6129,-0.37499824645502927,0.4146746157609718,护套外径
平均厚度,5862,5862,0.02118518455806843,5862,0.32715539660379905,5862,0.07773506470155023,5862,0.09021102606757118,5631,0.03048847057158366,5827,0.10266204325103681,5862,0.015947615271857857,5862,0.031287541874473745,0.32715539660379905,护套外径
