物料品号,样本数,合格数,纯度
1110100200782,28945,28801,0.9950250475038867
1110100200698,27895,27817,0.9972037999641513
1110100260003,26775,26704,0.9973482726423903
1110100200783,25515,25481,0.9986674505193024
1110100100680,19915,19842,0.9963344212904846
1110100260010,18305,18245,0.9967222070472549
1110100200784,17010,16974,0.9978835978835979
1110100260006,15365,15346,0.9987634233647901
1110200500028,10220,10093,0.987573385518591
1110100100681,9100,9042,0.9936263736263736
1110100160006,8856,8832,0.997289972899729
1110100200773,8400,8370,0.9964285714285714
1110100200737,7924,7768,0.9803129732458354
1110100200735,7200,7164,0.995
1110400160001,7182,6975,0.9711779448621554
1110100200704,7105,7020,0.988036593947924
1110100100678,6020,5971,0.9918604651162791
1110300200089,5662,5501,0.9715648180854821
1110100900143,5460,5391,0.9873626373626374
1110400160003,5396,5229,0.9690511489992587
1110100100617,5145,5096,0.9904761904761905
1110100400090,5033,4959,0.9852970395390424
1110100100677,4970,4952,0.9963782696177063
1110700560004,4773,4530,0.9490886235072281
1110600160035,4477,4363,0.9745365199910655
1110300100218,4370,4279,0.9791762013729977
1110100100676,4176,4165,0.9973659003831418
1110300100052,3838,3744,0.9755080771235018
1110100100640,3706,3351,0.9042093901780895
1110200100122,3696,3523,0.9531926406926406
1110200100125,3597,2654,0.7378370864609397
1110600160045,3080,3042,0.9876623376623377
1110300200090,3078,3038,0.9870045484080572
1110100200720,2916,2882,0.9883401920438958
1110101100028,2720,2718,0.9992647058823529
1110400160004,2508,2406,0.9593301435406698
1110400160005,2394,2360,0.985797827903091
1110300100213,2379,2285,0.9604875998318622
1110400160002,2242,2203,0.9826048171275646
1110103960002,2232,2194,0.9829749103942652
1110100100653,2088,2071,0.9918582375478927
1110100200770,2052,2005,0.9770955165692008
1110100400262,2030,2004,0.987192118226601
1111201800005,1960,1949,0.9943877551020408
1110600102302,1904,1898,0.9968487394957983
1110600102299,1666,1660,0.9963985594237695
1110100100562,1645,1598,0.9714285714285714
1110200700052,1617,1472,0.9103277674706246
1110101100035,1598,1588,0.9937421777221527
1110300200026,1558,1550,0.9948652118100129
1110700560002,1554,1429,0.9195624195624196
1110100200759,1548,1300,0.8397932816537468
1110100100644,1540,1540,1.0
1110600102301,1530,1527,0.9980392156862745
1110300200088,1520,1419,0.9335526315789474
1110100200724,1470,1469,0.9993197278911564
1110300300019,1444,1436,0.9944598337950139
2120100400112,1360,1353,0.9948529411764706
1110300200029,1332,1272,0.954954954954955
1110300100201,1330,1312,0.9864661654135338
1110300200094,1292,1289,0.9976780185758514
1110300100050,1292,1253,0.9698142414860681
1110300160005,1287,1287,1.0
1110301160003,1271,1129,0.8882769472856019
1110300100049,1260,1180,0.9365079365079365
1110600102300,1258,1253,0.9960254372019078
1110300100051,1216,1185,0.9745065789473685
1110100100604,1188,1169,0.984006734006734
1110102700002,1156,1154,0.9982698961937716
1110100600188,1155,1135,0.9826839826839827
2120100900097,1085,1084,0.9990783410138249
1110100100474,1085,1052,0.9695852534562212
1110102700004,1054,1054,1.0
1110100200787,1044,918,0.8793103448275862
1110101960002,1024,998,0.974609375
1110100200595,1015,1005,0.9901477832512315
1110300100079,988,956,0.9676113360323887
1110200560002,980,934,0.9530612244897959
1111202360001,960,891,0.928125
1110101600051,936,911,0.9732905982905983
1110100200721,936,896,0.9572649572649573
1110200100129,924,862,0.9329004329004329
1110300300010,912,902,0.9890350877192983
1110100400235,910,909,0.9989010989010989
1110100460040,900,621,0.69
1110200100121,891,846,0.9494949494949495
1110200900024,891,836,0.9382716049382716
1110100100643,875,816,0.9325714285714286
1110100100472,840,813,0.9678571428571429
2120103960002,825,821,0.9951515151515151
1110101700265,817,812,0.9938800489596084
1110101200235,805,787,0.977639751552795
1110109760017,777,776,0.9987129987129987
1110100200777,756,740,0.9788359788359788
2120101100030,748,724,0.9679144385026738
1110400160007,722,702,0.9722991689750693
1110300300009,702,701,0.9985754985754985
2121201800012,693,692,0.9985569985569985
1110200960006,693,686,0.98989898989899
1110600160005,682,671,0.9838709677419355
1110101200234,680,675,0.9926470588235294
1110100200503,665,628,0.9443609022556391
1110101200233,654,639,0.9770642201834863
1110107160007,648,586,0.904320987654321
1110200500034,646,645,0.9984520123839009
1110800700001,645,618,0.958139534883721
1110107160002,630,624,0.9904761904761905
1110100100473,630,606,0.9619047619047619
1110100100603,612,612,1.0
1110109760016,609,604,0.9917898193760263
1110100100481,576,561,0.9739583333333334
2120301160003,570,528,0.9263157894736842
1110100400373,564,551,0.9769503546099291
2120101600049,560,556,0.9928571428571429
1110101600052,560,550,0.9821428571428571
1110101700251,544,531,0.9761029411764706
2120100400206,544,531,0.9761029411764706
2120100400253,544,525,0.9650735294117647
1111202360002,540,538,0.9962962962962963
1110100200597,540,535,0.9907407407407407
1110101760025,536,502,0.9365671641791045
1110101100037,510,420,0.8235294117647058
1110100200269,490,473,0.9653061224489796
1110100100293,490,470,0.9591836734693877
1110100100533,490,462,0.9428571428571428
1111201800010,476,476,1.0
2120101100037,476,438,0.9201680672268907
1110100200484,468,467,0.9978632478632479
1110101760033,455,452,0.9934065934065934
1110100200763,455,441,0.9692307692307692
1110101200226,452,446,0.9867256637168141
1110101200185,442,395,0.8936651583710408
1110100760007,432,423,0.9791666666666666
2120500500012,432,327,0.7569444444444444
1110107160001,420,419,0.9976190476190476
1110200500030,420,419,0.9976190476190476
1110100100639,420,410,0.9761904761904762
1110100200505,420,401,0.9547619047619048
1110100200504,420,382,0.9095238095238095
1110300100048,418,401,0.9593301435406698
1110600160056,408,408,1.0
2120500500014,408,389,0.9534313725490197
1110300160004,390,389,0.9974358974358974
1110100400237,385,384,0.9974025974025974
1110100400360,385,372,0.9662337662337662
1110300160006,380,380,1.0
1110101760021,374,365,0.9759358288770054
1110202900009,363,355,0.977961432506887
1110100200765,350,350,1.0
1110101200225,350,348,0.9942857142857143
1110100100641,350,343,0.98
1110500500011,350,323,0.9228571428571428
1110100260044,350,305,0.8714285714285714
1110102260005,340,339,0.9970588235294118
1111201800002,340,326,0.9588235294117647
1110600160038,340,305,0.8970588235294118
1110101660001,324,322,0.9938271604938271
1110110160001,315,315,1.0
1110100200760,315,311,0.9873015873015873
1110100600177,315,301,0.9555555555555556
2120101600050,315,271,0.8603174603174604
1110202900002,306,291,0.9509803921568627
1110400160011,304,293,0.9638157894736842
1110800200011,301,276,0.9169435215946844
2121201800016,297,288,0.9696969696969697
2100900300230,297,195,0.6565656565656566
1110100760008,296,294,0.9932432432432432
1110300760004,296,291,0.9831081081081081
1110100200738,288,288,1.0
1110202900007,288,284,0.9861111111111112
1110100560006,288,280,0.9722222222222222
1110110200002,288,249,0.8645833333333334
1110100600186,288,241,0.8368055555555556
1111201800012,280,278,0.9928571428571429
1110100100637,280,277,0.9892857142857143
1110100160023,280,274,0.9785714285714285
1110500500012,275,264,0.96
1110102700008,272,268,0.9852941176470589
1110102260009,272,263,0.9669117647058824
1110101760017,272,255,0.9375
1110600160043,272,253,0.9301470588235294
1110200960007,264,255,0.9659090909090909
1110200900004,264,254,0.9621212121212122
1110100700105,252,250,0.9920634920634921
1110111860004,252,241,0.9563492063492064
1110100200736,252,231,0.9166666666666666
1110100100559,245,242,0.9877551020408163
1110100200766,245,241,0.9836734693877551
1111201800004,245,239,0.9755102040816327
2120110360004,245,238,0.9714285714285714
1110100200762,245,231,0.9428571428571428
1110200160007,238,231,0.9705882352941176
1110202900006,238,228,0.957983193277311
1110202900005,238,227,0.9537815126050421
2120100400110,238,220,0.9243697478991597
1111202300001,224,224,1.0
1110100200479,222,222,1.0
1110101360009,216,216,1.0
1110101360010,216,216,1.0
1110103600003,216,211,0.9768518518518519
1110100100337,216,209,0.9675925925925926
1110100400238,210,210,1.0
1110112400001,210,210,1.0
1110100660003,210,209,0.9952380952380953
1110101360007,210,209,0.9952380952380953
1110101600048,210,209,0.9952380952380953
1110100100456,210,208,0.9904761904761905
1110101360008,210,207,0.9857142857142858
1110101360006,210,205,0.9761904761904762
1110109260002,210,204,0.9714285714285714
1110101760038,198,180,0.9090909090909091
1110400160009,190,188,0.9894736842105263
1110301100007,190,178,0.9368421052631579
1110100100666,180,178,0.9888888888888889
1110102060011,180,174,0.9666666666666667
1110101200228,175,175,1.0
2120100460034,175,175,1.0
1110100100560,175,174,0.9942857142857143
1110100200268,175,174,0.9942857142857143
1110100260042,175,173,0.9885714285714285
1110200500022,175,170,0.9714285714285714
1110101760003,175,169,0.9657142857142857
1110100100558,175,168,0.96
1110100700147,175,167,0.9542857142857143
1110100100496,175,165,0.9428571428571428
1110100200786,175,153,0.8742857142857143
1110101760001,170,170,1.0
2120102260005,170,170,1.0
1110600160036,170,168,0.9882352941176471
1110100600057,170,157,0.9235294117647059
2121201800011,170,138,0.8117647058823529
1110200900011,165,157,0.9515151515151515
2120202700007,155,146,0.9419354838709677
1110300100165,152,150,0.9868421052631579
1110301100006,152,148,0.9736842105263158
1110402160003,148,146,0.9864864864864865
1110400200024,148,145,0.9797297297297297
1110100260036,148,144,0.972972972972973
1110100200606,144,144,1.0
1110100360002,144,139,0.9652777777777778
1110100200723,144,138,0.9583333333333334
1110100600174,144,129,0.8958333333333334
1110100400086,140,140,1.0
1110100200452,140,139,0.9928571428571429
1110600160041,140,139,0.9928571428571429
2120100560006,140,136,0.9714285714285714
1110200560001,140,131,0.9357142857142857
2120100400310,140,123,0.8785714285714286
1110100200776,136,136,1.0
1110200100056,136,136,1.0
1110600160054,136,135,0.9926470588235294
2120100360002,136,135,0.9926470588235294
1110100400205,136,134,0.9852941176470589
1110101260013,136,134,0.9852941176470589
1111202560003,136,134,0.9852941176470589
1110100200708,136,133,0.9779411764705882
1111200160004,136,133,0.9779411764705882
2121201800017,136,132,0.9705882352941176
1110600460004,136,129,0.9485294117647058
1110101100025,136,111,0.8161764705882353
1110104060002,136,108,0.7941176470588235
1110200360008,135,135,1.0
2121201800009,132,130,0.9848484848484849
1110100900144,128,128,1.0
2100900300319,126,126,1.0
2120202700006,124,116,0.9354838709677419
2120202700005,124,113,0.9112903225806451
1110400100031,120,108,0.9
1110300200095,114,111,0.9736842105263158
1110101260020,110,84,0.7636363636363637
1110100100571,108,108,1.0
1110100160021,108,107,0.9907407407407407
1110101560004,108,106,0.9814814814814815
1110100160008,108,100,0.9259259259259259
1110100200575,108,98,0.9074074074074074
1110100200642,108,98,0.9074074074074074
1110100300057,108,96,0.8888888888888888
1110100600183,108,96,0.8888888888888888
1110100600171,108,93,0.8611111111111112
1110100260037,108,63,0.5833333333333334
1110100100638,105,105,1.0
1110100400377,105,105,1.0
1110102060012,105,105,1.0
1110100200785,105,104,0.9904761904761905
1110101360012,105,104,0.9904761904761905
1110101760030,105,104,0.9904761904761905
1110101960004,105,104,0.9904761904761905
1110600160044,105,104,0.9904761904761905
1110100200764,105,103,0.9809523809523809
1110600160046,105,103,0.9809523809523809
1110103560005,105,101,0.9619047619047619
1110202900001,105,101,0.9619047619047619
2120101660001,105,100,0.9523809523809523
1110200900001,105,88,0.8380952380952381
1110101760034,105,86,0.819047619047619
1110100200709,102,102,1.0
1110101700151,102,99,0.9705882352941176
1110101760028,102,99,0.9705882352941176
1110200100006,102,99,0.9705882352941176
1110203560002,102,99,0.9705882352941176
1110101700268,102,98,0.9607843137254902
2120100400169,102,98,0.9607843137254902
2120100400198,102,98,0.9607843137254902
2120101100039,102,96,0.9411764705882353
2120108160004,102,96,0.9411764705882353
1110101760035,102,93,0.9117647058823529
1110110700004,100,76,0.76
1110204100001,99,99,1.0
1110202900004,99,94,0.9494949494949495
2120202700002,99,77,0.7777777777777778
1110200600006,96,96,1.0
1110200600003,96,93,0.96875
2100900300326,93,62,0.6666666666666666
2120101600046,90,90,1.0
1110701360001,88,86,0.9772727272727273
1110701100002,88,73,0.8295454545454546
1110200360006,87,69,0.7931034482758621
1110101660012,80,78,0.975
1110300260009,78,76,0.9743589743589743
1110400160008,76,76,1.0
1110400160014,76,76,1.0
1110400160013,76,65,0.8552631578947368
1110200160013,74,74,1.0
1110400260002,74,73,0.9864864864864865
1110102260003,74,70,0.9459459459459459
1110400260004,74,70,0.9459459459459459
2120301100006,74,61,0.8243243243243243
2120301100007,74,59,0.7972972972972973
1110100160024,72,72,1.0
1110300300008,72,72,1.0
1110100100425,72,70,0.9722222222222222
1110101660008,72,70,0.9722222222222222
2120400260004,72,70,0.9722222222222222
2120400200012,72,68,0.9444444444444444
2120400260001,72,67,0.9305555555555556
1110100600153,72,65,0.9027777777777778
1110112660001,72,63,0.875
1110100600175,72,60,0.8333333333333334
1110100100689,70,70,1.0
1110100160022,70,70,1.0
1110100260043,70,70,1.0
1110100460039,70,70,1.0
1110101260016,70,70,1.0
1110101360013,70,70,1.0
1110101900007,70,70,1.0
1110104560006,70,70,1.0
1110107160009,70,70,1.0
1110112300001,70,70,1.0
1110200500026,70,70,1.0
1110100100556,70,69,0.9857142857142858
1110101260014,70,69,0.9857142857142858
1110600160042,70,69,0.9857142857142858
1110600160047,70,69,0.9857142857142858
1110600460002,70,69,0.9857142857142858
2120111160002,70,69,0.9857142857142858
1110100700119,70,68,0.9714285714285714
1110101200213,70,68,0.9714285714285714
1110103560007,70,68,0.9714285714285714
1110100100627,70,67,0.9571428571428572
1110101200205,70,67,0.9571428571428572
1110101360003,70,67,0.9571428571428572
1110100400334,70,66,0.9428571428571428
1110102060004,70,66,0.9428571428571428
1110102260002,70,66,0.9428571428571428
1110100100321,70,63,0.9
2120108160003,70,62,0.8857142857142857
2120101100025,70,60,0.8571428571428571
2120101100027,70,57,0.8142857142857143
1110110700001,70,31,0.44285714285714284
2100900300307,69,67,0.9710144927536232
2120100400199,68,68,1.0
2120101660007,68,68,1.0
1110101700150,68,67,0.9852941176470589
2120110900001,68,67,0.9852941176470589
1110102260008,68,66,0.9705882352941176
1110200500055,68,66,0.9705882352941176
1110202900010,68,66,0.9705882352941176
1110600160037,68,66,0.9705882352941176
2120102060010,68,66,0.9705882352941176
2120102260009,68,66,0.9705882352941176
1110101760029,68,65,0.9558823529411765
1110101760037,68,65,0.9558823529411765
2120102260008,68,65,0.9558823529411765
1110900160004,68,55,0.8088235294117647
1110101100023,68,54,0.7941176470588235
1110101100026,68,54,0.7941176470588235
1111202560001,68,52,0.7647058823529411
1110200960005,66,66,1.0
1110202960002,66,66,1.0
1110200660001,66,65,0.9848484848484849
1110100660002,66,64,0.9696969696969697
2120600660004,66,64,0.9696969696969697
1110200360007,66,62,0.9393939393939394
1110200900002,66,62,0.9393939393939394
1111202700001,66,62,0.9393939393939394
2120202700011,66,62,0.9393939393939394
1110200700049,66,60,0.9090909090909091
2121202200001,64,64,1.0
1110200600009,64,63,0.984375
2120202700010,64,63,0.984375
2120202700004,64,48,0.75
2100900400200,63,63,1.0
2120100900098,62,62,1.0
2120203260001,62,62,1.0
1110109760018,57,54,0.9473684210526315
1110700160001,45,45,1.0
1110700500047,44,42,0.9545454545454546
2100900300222,42,42,1.0
1110700500070,42,39,0.9285714285714286
2100900300213,39,26,0.6666666666666666
1110109760015,38,38,1.0
1110300100109,38,38,1.0
1110300360001,38,38,1.0
1110301160002,38,38,1.0
1110300100199,38,37,0.9736842105263158
1110300300007,38,37,0.9736842105263158
1110400160012,38,37,0.9736842105263158
1110300100200,38,36,0.9473684210526315
1110400160010,38,36,0.9473684210526315
1110401760001,38,33,0.868421052631579
1110401760002,38,32,0.8421052631578947
1110100260032,37,37,1.0
1110112800001,37,37,1.0
1110102260004,37,35,0.9459459459459459
1110100200511,37,34,0.918918918918919
1110402160001,37,34,0.918918918918919
1110402100001,37,33,0.8918918918918919
1110100260030,36,36,1.0
1110100360001,36,36,1.0
1110101360011,36,36,1.0
1110101660010,36,36,1.0
1110102060008,36,36,1.0
1110110060002,36,36,1.0
1110400200017,36,36,1.0
2120400200002,36,36,1.0
1110100260031,36,35,0.9722222222222222
1110100660005,36,35,0.9722222222222222
1110102060009,36,35,0.9722222222222222
1110102060010,36,35,0.9722222222222222
1110110060005,36,35,0.9722222222222222
1110100200767,36,34,0.9444444444444444
1110100260035,36,34,0.9444444444444444
1110100400391,36,34,0.9444444444444444
1110101660009,36,34,0.9444444444444444
1110101660014,36,34,0.9444444444444444
1110104560005,36,33,0.9166666666666666
1110112600001,36,33,0.9166666666666666
1110100400281,36,32,0.8888888888888888
1110109700008,36,32,0.8888888888888888
1110100700169,36,31,0.8611111111111112
1110101460002,36,29,0.8055555555555556
1110100260041,36,28,0.7777777777777778
1110100100516,35,35,1.0
1110100160016,35,35,1.0
1110100200517,35,35,1.0
1110100260013,35,35,1.0
1110100260033,35,35,1.0
1110100400245,35,35,1.0
1110100460038,35,35,1.0
1110100700120,35,35,1.0
1110100700122,35,35,1.0
1110100700165,35,35,1.0
1110100760010,35,35,1.0
1110101700285,35,35,1.0
1110101760031,35,35,1.0
1110101760032,35,35,1.0
1110101900008,35,35,1.0
1110102000039,35,35,1.0
1110102000041,35,35,1.0
1110102060002,35,35,1.0
1110102060003,35,35,1.0
1110103560003,35,35,1.0
1110103560006,35,35,1.0
1110107160008,35,35,1.0
1110600160050,35,35,1.0
1110600460003,35,35,1.0
2120101660013,35,35,1.0
2120102260002,35,35,1.0
2120102260003,35,35,1.0
2120111100001,35,35,1.0
2120111160003,35,35,1.0
1110100100645,35,34,0.9714285714285714
1110100200572,35,34,0.9714285714285714
1110100260034,35,34,0.9714285714285714
1110100400116,35,34,0.9714285714285714
1110100400346,35,34,0.9714285714285714
1110101700182,35,34,0.9714285714285714
1110102060001,35,34,0.9714285714285714
1110107160006,35,34,0.9714285714285714
1110600160051,35,34,0.9714285714285714
2120101100028,35,34,0.9714285714285714
2120102060004,35,34,0.9714285714285714
2120102260004,35,34,0.9714285714285714
2120111160001,35,34,0.9714285714285714
1110100200587,35,33,0.9428571428571428
1110100400244,35,33,0.9428571428571428
1110100400280,35,33,0.9428571428571428
2120102060002,35,32,0.9142857142857143
1110100260040,35,30,0.8571428571428571
2120100400290,35,30,0.8571428571428571
2120108600008,35,30,0.8571428571428571
1110100260038,35,29,0.8285714285714286
1110100260039,35,29,0.8285714285714286
2120102000031,35,29,0.8285714285714286
2120109000002,35,29,0.8285714285714286
1110900460001,35,28,0.8
1110100400091,35,27,0.7714285714285715
1110100400236,35,27,0.7714285714285715
1110101200182,34,34,1.0
1110107960003,34,34,1.0
1110108100012,34,34,1.0
1110900100001,34,34,1.0
2120100360001,34,34,1.0
2120100400108,34,34,1.0
2120100400136,34,34,1.0
2120100400207,34,34,1.0
