工单号,批号,物料品号,物料描述,型号,设备名称,工序,生产方式,创建日期,主机1区-10区温度（实际值）（℃）,内护套外径(mm),套管外径(mm),套管放线张力(N),定径模1#-2#(mm),实际生产速度（m/min）,护套外径(mm),挤出内模(mm),挤出外模(mm),撕裂绳放线张力（N）,放线张力气压（Mpa）,油膏模-入口(mm),油膏模-出口(mm),班次,生产速度（米/分）,缆号,缆芯外径（mm),芳纶纱、玻璃纱放线张力（N）,芳纶绞笼1#-纱股数,螺杆电流（A）,螺杆速度(rpm)-(挤塑主机速度)（转/分）,螺杆速度(rpm)-(辅助挤塑速度)（转/分）,辅机1区-4区温度（实际值）（℃）,进气总气压（Mpa）,钢丝、FRP放线张力（N）,钢带预型压轮（沿前进方向）1#-6#（R：mm）,钢带预型锥孔径（mm),铝带预型锥孔径(mm),问题描述,限径卡包模(mm),缆芯外径,护套外径,挤出内模,挤出外模,螺杆速度,螺杆电流,生产速度,实际生产速度
A2FX2409011-10,D1G03003100701,1110100200504,GYTS光缆(黑色),GYTS-6G.652D,HT-13,护套,正常生产,2024-09-03 08:36:49.753,180,0.00,,,7.80,80.00,9.30,6.00,13.50,,0.10,,,中夜班,75.00,DG24903HN0001,4.50,,,86.00,66.00,,185  212  215  221  231  236  240  241,0.50,,,,,,12.00,4.5,9.3,6.0,13.5,66.0,86.0,75.0,80.0
A2FX24090111-10,D9F0400029201102,1110100200776,GYTS光缆(黑色),GYTS-4G.651-62.5/125,HT-12,护套,正常生产,2024-09-03 22:21:25.740,130-140-145-150-155-160-166-171,0.00,0.00,0.00,6.40,30.00,9.50,7.00,10.00,0.00,0.10,0.00,0.00,早中班,35.00,/,5.35,0.00,0.00,104.00,37.00,0.00,0,0.50,0.00,0.00,0.00,0.00,0,11.00,5.35,9.5,7.0,10.0,37.0,104.0,35.0,30.0
A2FX24090112-10,A2FX24090112100001,2120102060004,GYFTZY53内护1(黑色),HT1-8G.652D,HT-12,护套,正常生产,2024-09-01 22:17:10.320,130-140-145-150-155-160-166-171,0.00,0.00,0.00,6.20,30.00,9.05,7.00,9.20,0.00,0.10,0.00,0.00,早中班,45.00,/,5.15,0.00,0.00,104.00,37.00,0.00,0,0.50,0.00,0.00,0.00,0.00,0,10.50,5.15,9.05,7.0,9.2,37.0,104.0,45.0,30.0
A2FX24090113-10,A2FX24090113100001,2110300200111,GYDTS(12芯带)缆芯1,LX1-288G.652D,HT-10,护套,正常生产,2024-09-02 08:45:10.767,180- 201- 216- 221- 227- 230-237- 243-249,0.00,0.00,0.00,5.30,40.00,7.95,6.00,12.50,,0.10,,,早中班,40.00,/,4.35,,,126.00,67.00,,/,0.50,0.00,,,,,9.00,4.35,7.95,6.0,12.5,67.0,126.0,40.0,40.0
A2FX2409012-10,D1G03003300801,1110100200505,GYTS光缆(黑色),GYTS-24G.652D,HT-13,护套,正常生产,2024-09-03 10:30:31.063,180,0.00,,,7.80,80.00,9.30,6.00,13.50,,0.10,,,中夜班,80.00,DG24903HN0002,4.50,,,86.00,66.00,,185  212  215  221  231  236  240  241,0.50,,,,,,12.00,4.5,9.3,6.0,13.5,66.0,86.0,80.0,80.0
A2FX2409013-10,D1G03003400301,1110100200269,GYTS光缆(黑色),GYTS-48G.652D,HT-13,护套,正常生产,2024-09-03 15:14:09.470,180,0.00,,,7.80,80.00,9.30,6.00,13.50,,0.10,,,中夜班,40.00,DG24903HN0104,4.50,,,86.00,66.00,,185  212  215  221  231  236  240  241,0.50,,,,,,12.00,4.5,9.3,6.0,13.5,66.0,86.0,40.0,80.0
A2FX2409014-10,D1G03003200501,1110100200503,GYTS光缆(黑色),GYTS-12G.652D,HT-13,护套,正常生产,2024-09-03 15:36:53.053,180,0.00,,,7.80,80.00,9.30,6.00,13.50,,0.10,,,中夜班,100.00,DG24903HN0103,4.50,,,86.00,66.00,,185  212  215  221  231  236  240  241,0.50,,,,,,12.00,4.5,9.3,6.0,13.5,66.0,86.0,100.0,80.0
A2FX2409016-10,D9G0800080100101,1110102060004,GYFTZY53光缆(黑色),GYFTZY53-8G.652D,HT-12,护套,正常生产,2024-09-01 16:45:11.920,130-140-145-150-155-160-166-171,0.00,0.00,0.00,6.20,30.00,9.05,7.00,9.20,0.00,0.10,0.00,0.00,早中班,35.00,/,5.15,0.00,0.00,104.00,37.00,0.00,0,0.50,0.00,0.00,0.00,0.00,0,10.50,5.15,9.05,7.0,9.2,37.0,104.0,35.0,30.0
A2FX2409018-10,D0G0800203101901,1110300200089,GYDTS光缆(黑色),GYDTS-288G.652D,HT-12,护套,正常生产,2024-09-01 16:46:49.550,130-140-145-150-155-160-166-171,0.00,0.00,0.00,6.20,30.00,9.05,7.00,9.20,0.00,0.10,0.00,0.00,早中班,45.00,/,5.15,0.00,0.00,104.00,37.00,0.00,0,0.50,0.00,0.00,0.00,0.00,0,10.50,5.15,9.05,7.0,9.2,37.0,104.0,45.0,30.0
A2FX2409019-10,D2G0800194102701,1110100200782,GYTS光缆(黑色),GYTS-12G.652D,HT-15,护套,正常生产,2024-09-01 16:01:00.070,145-149-155-162-172-170-179,0.00,,,4.50,25.00,9.30,6.60,14.00,,0.10,,,早中班,25.00,/,4.60,,,,,,0,0.50,,,,,,10.20,4.6,9.3,6.6,14.0,,,25.0,25.0
A2FX2409032-10,D2G0800242204201,1110100100678,GYTA光缆(黑色),GYTA-6G.652D,HT-10,护套,正常生产,2024-09-04 16:44:12.377,180- 201- 216- 221- 227- 230-237- 243-249,0.00,0.00,0.00,5.60,25.00,9.30,6.00,12.50,,0.10,,,早中班,100.00,DG24904HN0001,4.60,,,99.00,36.00,,/,0.50,0.00,,,,,10.40,4.6,9.3,6.0,12.5,36.0,99.0,100.0,25.0
A2FX2409041-10,A2FX2409041100001,2110300300012,GYDTZA(12芯带)缆芯1,LX1-288G.652D,HT-15,护套,正常生产,2024-09-05 14:04:11.377,145-149-155-162-172-170-179,0.00,,,4.50,40.00,9.30,6.60,14.00,,0.10,,,早中班,40.00,/,4.60,,,,,,0,0.50,,,,,,10.20,4.6,9.3,6.6,14.0,,,40.0,40.0
A2FX2409051-10,D2G080007710010101,1110100100681,GYTA光缆(黑色),GYTA-24G.652D,HT-13,护套,正常生产,2024-09-10 03:53:11.160,180,0.00,,,7.80,80.00,9.30,6.00,13.50,,0.10,,,中夜班,100.00,DG24909HN0009,4.50,,,86.00,66.00,,185  212  215  221  231  236  240  241,0.50,,,,,,12.00,4.5,9.3,6.0,13.5,66.0,86.0,100.0,80.0
A2FX2409052-10,D2G060021320060101,1110100100680,GYTA光缆(黑色),GYTA-12G.652D,HT-13,护套,正常生产,2024-09-09 23:41:59.843,180,0.00,,,7.80,80.00,9.30,6.00,13.50,,0.10,,,中夜班,100.00,DG24909HN0004,4.50,,,86.00,66.00,,185  212  215  221  231  236  240  241,0.50,,,,,,12.00,4.5,9.3,6.0,13.5,66.0,86.0,100.0,80.0
A2FX2409053-10,D2G060021320060102,1110100100680,GYTA光缆(黑色),GYTA-12G.652D,HT-13,护套,正常生产,2024-09-09 23:43:29.720,180,0.00,,,7.80,80.00,9.30,6.00,13.50,,0.10,,,中夜班,100.00,DG24909HN0003,4.50,,,86.00,66.00,,185  212  215  221  231  236  240  241,0.50,,,,,,12.00,4.5,9.3,6.0,13.5,66.0,86.0,100.0,80.0
