检查项目,特征,重要性
光缆外径,num__护套外径,0.6959921736949944
光缆外径,num__挤出内模,0.09694940675091383
光缆外径,num__实际生产速度,0.04379477850755704
光缆外径,num__生产速度,0.03619090614926877
光缆外径,num__缆芯外径,0.019791381248775088
光缆外径,cat__物料品号_1110100260003,0.013384540215548064
光缆外径,cat__型号_GYDTS-144G.652D,0.012775469020975708
光缆外径,num__挤出外模,0.008757389286637631
光缆外径,cat__物料品号_1110300200089,0.00784579652900857
光缆外径,cat__型号_GYTS-12G.652D,0.0077637667652401265
光缆外径,cat__型号_GYDTS-288G.652D,0.007606982584368556
光缆外径,cat__型号_GYFTY-96G.652D,0.00605438190300365
加强件外径,num__生产速度,0.3690699028373741
加强件外径,num__挤出外模,0.13592289753310788
加强件外径,num__缆芯外径,0.10792793637019331
加强件外径,num__挤出内模,0.0523452692758926
加强件外径,cat__型号_ADSS-96G.652D,0.030372387288241688
加强件外径,num__螺杆速度,0.02981698622381146
加强件外径,num__护套外径,0.02860883142096434
加强件外径,num__实际生产速度,0.026278780003013653
加强件外径,cat__型号_GYXTS-48G.652D,0.021936332178165867
加强件外径,cat__物料品号_1110200500028,0.021164880825509422
加强件外径,num__螺杆电流,0.019258593912561475
加强件外径,cat__型号_GYDXTW-144G.652D,0.015734926957965165
加强件涂覆后外径,num__挤出外模,0.6745973818015645
加强件涂覆后外径,num__缆芯外径,0.1062191968751276
加强件涂覆后外径,cat__型号_GYTS-144G.652D,0.03299573243181423
加强件涂覆后外径,num__护套外径,0.03205665396491271
加强件涂覆后外径,num__生产速度,0.029352962435887576
加强件涂覆后外径,num__实际生产速度,0.0265640821701545
加强件涂覆后外径,num__挤出内模,0.020812279636555527
加强件涂覆后外径,cat__物料品号_1110101200235,0.014524095082306813
加强件涂覆后外径,cat__型号_GYFTY-96G.652D,0.013371240972689881
加强件涂覆后外径,num__螺杆速度,0.009091340267076994
加强件涂覆后外径,cat__物料品号_1110100200770,0.008838974735424521
加强件涂覆后外径,num__螺杆电流,0.00844372391727441
缆芯外径,num__护套外径,0.7438855266649242
缆芯外径,num__缆芯外径,0.08755459763639889
缆芯外径,num__生产速度,0.05585901281255227
缆芯外径,num__挤出内模,0.02207400308122706
缆芯外径,cat__型号_GYDTS-144G.652D,0.012365860705617644
缆芯外径,num__挤出外模,0.011387621860823679
缆芯外径,num__实际生产速度,0.008362983033331273
缆芯外径,cat__物料品号_1110101200235,0.007392938963591707
缆芯外径,cat__型号_GYFTY-96G.652D,0.006667425619798978
缆芯外径,cat__型号_GYDTS-288G.652D,0.005071696776981548
缆芯外径,cat__物料品号_1110300200089,0.004336823763277304
缆芯外径,cat__型号_GYTS-144G.652D,0.004171814537585592
钢铝带搭边宽度,num__挤出内模,0.5655508015230486
钢铝带搭边宽度,num__缆芯外径,0.10124894110405012
钢铝带搭边宽度,num__生产速度,0.08135467506029936
钢铝带搭边宽度,cat__型号_GYFZY-48G.652D,0.03056097608769197
钢铝带搭边宽度,cat__物料品号_1110107160007,0.030331829971603046
钢铝带搭边宽度,num__实际生产速度,0.02829869956292246
钢铝带搭边宽度,cat__型号_GYFTZY-48G.652D,0.015922017827468257
钢铝带搭边宽度,cat__物料品号_1110101760025,0.01570949483969728
钢铝带搭边宽度,num__护套外径,0.015288480188327187
钢铝带搭边宽度,num__螺杆速度,0.00867254580105828
钢铝带搭边宽度,num__螺杆电流,0.00812264005544036
钢铝带搭边宽度,num__挤出外模,0.007847911973490645
